                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3532,                 4.5888,                 4.7157,                 1.6694,                0.00155,                0.04762,                0.04837,                0.01935,                0.00155,                0.04762,                0.04837,                0.01217,                 1.9588,                 3.0621,                 4.3279,                 1.3991,                 0.0955,                 0.0005,                 0.0005
                      2,                 2.2673,                 3.8468,                 4.3426,                 1.4503,                0.00155,                0.04762,                0.04837,                0.01935,                0.00155,                0.04762,                0.04837,                0.01217,                 2.8418,                 6.7543,                  4.164,                 1.9898,               0.090089,              0.0010891,              0.0010891
                      3,                  2.603,                 3.6041,                 3.3555,                 1.5305,                0.00102,                0.14286,                0.00554,                0.00124,                0.00068,                0.09524,                0.00311,                0.00039,                 2.5698,                 20.356,                 3.9132,                 1.6892,               0.084666,              0.0016663,              0.0016663
                      4,                 2.5975,                 3.2299,                 3.2783,                 1.4162,                0.01342,                0.28571,                0.08443,                0.04643,                0.01261,                 0.2381,                0.07412,                0.02626,                   2.41,                 29.657,                 3.2374,                 1.6016,               0.079232,              0.0022317,              0.0022317
                      5,                 2.5185,                  3.412,                 3.1634,                   1.35,                0.92986,                0.09524,                0.14079,                0.06632,                0.92986,                0.09524,                0.11871,                0.03122,                 2.3467,                 21.492,                 3.1608,                 1.8649,               0.073785,              0.0027852,              0.0027852
                      6,                 2.6482,                 3.1075,                 2.9939,                 1.3342,                0.95337,                0.14286,                0.21868,                0.10233,                0.95337,                0.14286,                0.23809,                0.12149,                   2.44,                 26.108,                 3.2019,                 2.7435,               0.068327,              0.0033267,              0.0033267
                      7,                 2.6418,                 3.0802,                 2.8816,                 1.3795,                0.27756,                0.19048,                0.19051,                0.04087,                0.27756,                0.19048,                0.18821,                0.03582,                  2.572,                 51.981,                 6.1426,                 3.5683,               0.062856,              0.0038565,              0.0038565
                      8,                 2.8693,                 2.6801,                  2.696,                 1.4645,                0.70226,                0.28571,                0.29588,                0.08493,                0.70226,                0.28571,                0.29423,                0.09174,                 2.4685,                 84.519,                 13.066,                 2.5144,               0.057374,              0.0043743,              0.0043743
                      9,                 2.5986,                 2.5427,                 2.8328,                 1.3282,                0.08951,                0.42857,                0.26503,                0.07518,                0.08951,                0.42857,                 0.2657,                0.09586,                 2.8878,                 24.891,                  20.93,                 3.4804,                0.05188,              0.0048802,              0.0048802
                     10,                 2.4257,                 2.6066,                   2.36,                 1.3092,                0.04282,                0.28571,                0.16733,                0.06338,                0.07606,                0.42857,                0.21448,                0.07028,                 2.9817,                 29.006,                 80.921,                 5.0899,               0.046374,              0.0053743,              0.0053743
                     11,                 2.4952,                 2.3396,                  2.452,                 1.3172,                 0.2845,                0.42857,                0.19188,                0.05404,                 0.2845,                0.42857,                0.18982,                0.04508,                 3.0667,                 15.351,                 39.163,                 2.7555,               0.040857,              0.0058565,              0.0058565
                     12,                 2.4421,                 2.4839,                 2.6102,                 1.3242,                0.29927,                0.19048,                0.14901,                0.01831,                0.29927,                0.19048,                0.14901,                0.04676,                 3.7839,                 11.046,                 170.65,                 3.0709,               0.035327,              0.0063268,              0.0063268
                     13,                 2.5511,                 2.4781,                 2.4969,                 1.3178,                0.42922,                0.04762,                0.00098,                0.00042,                0.42922,                0.04762,                0.00079,                0.00021,                 4.2099,                 10.738,                 422.26,                  5.239,               0.029785,              0.0067852,              0.0067852
                     14,                  2.434,                 2.2908,                 2.4341,                 1.2407,                0.61905,                0.14286,                0.07265,                 0.0079,                0.61905,                0.14286,                0.07265,                0.00727,                  3.967,                 27.976,                 235.57,                 2.2712,               0.024232,              0.0072318,              0.0072318
                     15,                 2.3978,                 2.4702,                 2.2683,                 1.2739,                0.43746,                0.19048,                0.01023,                0.00477,                0.43877,                0.19048,                0.14561,                0.01456,                 3.8622,                 32.348,                 68.189,                 2.4564,               0.018666,              0.0076665,              0.0076665
                     16,                 2.5288,                 2.6161,                 2.3826,                 1.3065,                0.79195,                0.19048,                0.07044,                 0.0261,                0.79195,                0.19048,                 0.0611,                0.01447,                 3.8587,                 21.309,                 6.6338,                 2.1162,               0.013089,              0.0080892,              0.0080892
                     17,                 2.3466,                 2.4178,                 2.3854,                 1.3427,                0.77581,                0.19048,                 0.0598,                0.02105,                0.76975,                0.19048,                0.04317,                0.00735,                 3.5581,                 11.457,                 6.2251,                 2.0394,               0.008416,               0.008416,               0.008416
                     18,                 2.3711,                  2.412,                 2.2798,                 1.2912,                0.63967,                0.14286,                0.07195,                0.02865,                0.69402,                0.14286,                0.14248,                0.01438,                 3.2043,                  6.687,                 28.571,                 2.8181,               0.008416,               0.008416,               0.008416
                     19,                 2.3375,                 2.6276,                 2.3623,                 1.2845,                0.59034,                0.14286,                0.03425,                0.00966,                0.61309,                0.14286,                0.14797,                0.02566,                 3.4163,                 6.7712,                 17.896,                 2.8572,               0.008317,               0.008317,               0.008317
                     20,                 2.2956,                 2.4391,                 2.2035,                 1.2671,                0.17753,                0.33333,                0.06033,                0.00957,                0.17753,                0.33333,                0.06032,                0.01269,                 3.4102,                 8.2937,                 12.691,                 2.5698,               0.008218,               0.008218,               0.008218
                     21,                 2.2922,                 2.4043,                 2.1399,                 1.2146,                0.22361,                0.28571,                0.12349,                0.02841,                0.22361,                0.28571,                0.12327,                0.04314,                 3.1751,                 8.0115,                 10.579,                 2.4041,               0.008119,               0.008119,               0.008119
                     22,                 2.5399,                 2.5823,                 2.3872,                  1.273,                0.60452,                0.14286,                0.06838,                0.01945,                0.15104,                0.19048,                0.01588,                0.00457,                 3.3761,                 8.2395,                  9.434,                 2.6056,                0.00802,                0.00802,                0.00802
                     23,                 2.3139,                 2.4285,                 2.2584,                 1.2207,                0.17905,                0.33333,                 0.0608,                0.01299,                0.16565,                0.19048,                0.05166,                0.01094,                 3.6264,                 8.0613,                 11.456,                 2.8556,               0.007921,               0.007921,               0.007921
                     24,                 2.3084,                 2.2913,                  2.202,                 1.2431,                0.38454,                0.33333,                0.21719,                0.05623,                0.38454,                0.33333,                0.21466,                0.05968,                 3.1823,                 7.1904,                 7.0504,                 2.6054,               0.007822,               0.007822,               0.007822
                     25,                 2.2611,                 2.3615,                 2.0537,                  1.185,                0.65931,                0.19048,                0.08197,                0.02643,                0.90754,                0.19048,                0.23076,                0.05118,                 2.9893,                  7.519,                 12.039,                 2.3204,               0.007723,               0.007723,               0.007723
                     26,                 2.0523,                 2.1859,                 2.0402,                 1.1954,                0.43634,                0.40327,                0.39848,                0.15158,                0.43634,                0.40327,                0.40211,                 0.1696,                  2.334,                 6.5109,                 12.134,                 1.7316,               0.007624,               0.007624,               0.007624
                     27,                 2.3833,                 2.4416,                 2.3971,                  1.217,                0.17315,                0.28571,                0.30059,                0.10417,                0.20568,                0.42857,                0.37084,                 0.1259,                 2.5441,                 8.1307,                 3.4937,                 1.6302,               0.007525,               0.007525,               0.007525
                     28,                 2.0901,                 2.2176,                 2.1674,                 1.2891,                0.17859,                0.28571,                0.21477,                0.05901,                 0.1967,                0.28571,                0.31973,                 0.1144,                 2.5031,                 4.2432,                 15.557,                 1.7637,               0.007426,               0.007426,               0.007426
                     29,                 2.1137,                 2.1121,                 2.1769,                 1.2372,                0.05103,                0.61905,                0.21489,                0.07075,                0.19761,                0.28571,                 0.2379,                0.09754,                 2.5025,                 5.3585,                 28.177,                 2.0964,               0.007327,               0.007327,               0.007327
                     30,                 2.2908,                 2.3169,                 2.2357,                 1.2457,                0.95259,                0.14286,                0.25281,                 0.0879,                0.95259,                0.14286,                0.28834,                0.16402,                 2.5812,                 5.2941,                  12.24,                 2.0737,               0.007228,               0.007228,               0.007228
                     31,                 2.1546,                 2.2652,                 2.0023,                  1.217,                0.96238,                0.14286,                0.25565,                0.09862,                0.32514,                0.36571,                0.30895,                0.15055,                  2.518,                 5.4864,                 3.8655,                 1.9522,               0.007129,               0.007129,               0.007129
